city,state,energy_burden,household_income,avg_annual_energy_cost,risk_label
Mount Shasta,California,4.0,70185.0,2566.0,1
Murrieta,California,2.0,128331.0,2646.0,0
Napa,California,2.0,140845.0,2754.0,0
National City,California,2.0,76213.0,1627.0,0
Needles,California,6.0,66238.0,3918.0,1
Nevada City,California,2.0,126126.0,3048.0,0
Newark,California,1.0,201667.0,2311.0,0
Newman,California,3.0,103752.0,2626.0,1
Newport Beach,California,1.0,215464.0,2507.0,0
Norco,California,2.0,141172.0,2895.0,0
Norwalk,California,2.0,108665.0,2255.0,0
Novato,California,2.0,203305.0,3131.0,0
Oakdale,California,2.0,110183.0,2620.0,0
Oakland,California,1.0,148156.0,2132.0,0
Oakley,California,2.0,150247.0,3104.0,0
Oceanside,California,2.0,114172.0,2115.0,0
Ojai,California,2.0,128329.0,2206.0,0
Ontario,California,2.0,98661.0,2278.0,0
Orange,California,2.0,157527.0,2447.0,0
Orange Cove,California,4.0,53081.0,2355.0,1
Orinda,California,1.0,324226.0,3916.0,0
Orland,California,4.0,76527.0,2689.0,1
Oroville,California,4.0,68720.0,2630.0,1
Oxnard,California,2.0,112664.0,1799.0,0
Pacifica,California,1.0,209116.0,2695.0,0
Pacific Grove,California,2.0,152897.0,2324.0,0
Palmdale,California,3.0,99409.0,3028.0,1
Palm Desert,California,2.0,122397.0,2948.0,0
Palm Springs,California,2.0,111888.0,2780.0,0
Palo Alto,California,1.0,340898.0,2303.0,0
Palos Verdes Estates,California,1.0,268511.0,3100.0,0
Paradise,California,4.0,74110.0,2723.0,1
Paramount,California,2.0,84078.0,1845.0,0
Parlier,California,3.0,74823.0,2457.0,1
Pasadena,California,1.0,146072.0,1990.0,0
Patterson,California,2.0,107241.0,2455.0,0
Perris,California,3.0,101876.0,2641.0,1
Petaluma,California,2.0,135286.0,2414.0,0
Pico Rivera,California,2.0,106002.0,2107.0,0
Piedmont,California,1.0,305913.0,3281.0,0
Pinole,California,2.0,141320.0,2658.0,0
Pismo Beach,California,1.0,130655.0,1519.0,0
Pittsburg,California,2.0,116337.0,2639.0,0
Placentia,California,2.0,139298.0,2424.0,0
Placerville,California,3.0,116466.0,3200.0,1
Pleasant Hill,California,2.0,157967.0,2414.0,0
Pleasanton,California,1.0,214158.0,2743.0,0
Pomona,California,2.0,93698.0,2241.0,0
Porterville,California,4.0,74024.0,2891.0,1
Port Hueneme,California,2.0,94029.0,1620.0,0
Portola Valley,California,1.0,417477.0,4651.0,0
Poway,California,2.0,174756.0,2705.0,0
Rancho Cordova,California,2.0,109319.0,1988.0,0
Rancho Cucamonga,California,2.0,132684.0,2748.0,0
Rancho Mirage,California,2.0,147029.0,3254.0,0
Rancho Palos Verdes,California,1.0,234162.0,2781.0,0
Rancho Santa Margarita,California,1.0,188724.0,2811.0,0
Red Bluff,California,4.0,69734.0,2477.0,1
Redding,California,3.0,91327.0,2353.0,1
Redlands,California,2.0,128299.0,2570.0,0
Redondo Beach,California,1.0,202973.0,1969.0,0
Redwood City,California,1.0,283326.0,2755.0,0
Reedley,California,3.0,83124.0,2672.0,1
Rialto,California,3.0,100376.0,2519.0,1
Richmond,California,2.0,111320.0,2285.0,0
Ridgecrest,California,3.0,102888.0,2674.0,1
Rio Dell,California,4.0,70277.0,2660.0,1
Rio Vista,California,2.0,105859.0,2259.0,0
Ripon,California,2.0,140466.0,2991.0,0
Riverbank,California,2.0,116847.0,2704.0,0
Riverside,California,2.0,108122.0,2120.0,0
Rocklin,California,2.0,150699.0,3019.0,0
Rohnert Park,California,2.0,118698.0,2189.0,0
Rolling Hills Estates,California,1.0,260299.0,3008.0,0
Rosemead,California,2.0,91916.0,1914.0,0
Roseville,California,2.0,137238.0,2108.0,0
Sacramento,California,2.0,106494.0,1959.0,0
St. Helena,California,1.0,200917.0,2930.0,0
Salinas,California,2.0,107119.0,2165.0,0
San Anselmo,California,1.0,335039.0,3302.0,0
San Bernardino,California,3.0,81535.0,2366.0,1
San Bruno,California,1.0,195838.0,2346.0,0
San Buenaventura (Ventura),California,1.0,119742.0,1741.0,0
San Carlos,California,1.0,332426.0,3011.0,0
San Clemente,California,1.0,201314.0,2476.0,0
San Diego,California,1.0,138197.0,1934.0,0
San Dimas,California,2.0,138497.0,2601.0,0
San Fernando,California,4.0,104226.0,3837.0,1
San Francisco,California,1.0,241107.0,1908.0,0
San Gabriel,California,2.0,121824.0,2326.0,0
Sanger,California,3.0,81592.0,2534.0,1
San Jacinto,California,3.0,85612.0,2726.0,1
San Joaquin,California,4.0,68693.0,2877.0,1
San Jose,California,1.0,210380.0,2624.0,0
San Juan Capistrano,California,1.0,188313.0,2527.0,0
San Leandro,California,1.0,136074.0,1901.0,0
San Luis Obispo,California,2.0,97466.0,1493.0,0
San Marcos,California,2.0,134304.0,2254.0,0
San Marino,California,1.0,215077.0,3101.0,0
San Mateo,California,1.0,256307.0,2465.0,0
San Pablo,California,2.0,96453.0,2208.0,0
San Rafael,California,1.0,230875.0,2722.0,0
San Ramon,California,1.0,254608.0,3213.0,0
Santa Ana,California,2.0,113670.0,1893.0,0
Santa Barbara,California,1.0,156124.0,1922.0,0
Santa Clara,California,1.0,230538.0,1295.0,0
Santa Clarita,California,2.0,145845.0,2750.0,0
Santa Cruz,California,1.0,170882.0,2402.0,0
Santa Fe Springs,California,2.0,103525.0,2139.0,0
Santa Maria,California,2.0,105506.0,1674.0,0
Santa Monica,California,1.0,170043.0,1866.0,0
Santa Paula,California,2.0,87288.0,1895.0,0
Santa Rosa,California,2.0,120399.0,2416.0,0
Santee,California,2.0,128199.0,2349.0,0
Saratoga,California,1.0,361044.0,3693.0,0
Sausalito,California,1.0,249722.0,2594.0,0
Scotts Valley,California,2.0,185107.0,3065.0,0
Seal Beach,California,1.0,121986.0,1646.0,0
Seaside,California,2.0,114717.0,2443.0,0
Sebastopol,California,2.0,133658.0,2604.0,0
Selma,California,4.0,63536.0,2506.0,1
Shafter,California,3.0,80232.0,2442.0,1
Shasta Lake,California,9.0,74611.0,6661.0,1
Sierra Madre,California,2.0,185193.0,2902.0,0
Signal Hill,California,1.0,128780.0,1805.0,0
Simi Valley,California,2.0,142532.0,2725.0,0
Solana Beach,California,1.0,190847.0,2409.0,0
Soledad,California,2.0,92563.0,2099.0,0
Solvang,California,1.0,163979.0,2263.0,0
Sonoma,California,2.0,143241.0,2595.0,0
Sonora,California,3.0,91752.0,3054.0,1
South El Monte,California,2.0,83962.0,2003.0,0
South Gate,California,2.0,84634.0,1777.0,0
South Lake Tahoe,California,3.0,107360.0,2811.0,1
South Pasadena,California,1.0,165285.0,2170.0,0
South San Francisco,California,1.0,199578.0,2443.0,0
Stanton,California,2.0,105613.0,1735.0,0
Stockton,California,3.0,93687.0,2773.0,1
Suisun City,California,2.0,117089.0,2665.0,0
Sunnyvale,California,1.0,267451.0,2015.0,0
