zcta,median_household_income,housing_age
4102,82751,88
4103,89796,66
4105,150919,40
4106,86188,57
4107,146054,59
4108,94318,88
4110,194205,32
4210,66647,72
4216,52361,48
4217,61125,41
4219,62361,41
4220,79750,40
4221,52458,51
4222,99181,40
4224,71513,51
4226,47955,54
4231,63750,44
4236,98093,47
4237,55417,44
4238,92550,39
4239,70238,46
4240,55393,69
4250,84028,45
4252,73476,58
4253,70441,55
4254,45843,54
4255,75938,45
4256,69914,46
4257,55727,68
4258,95655,32
4259,83919,40
4260,108797,35
4261,45833,40
4263,85208,37
4265,43506,41
4268,54342,52
4270,74241,47
4274,85557,38
4275,70417,56
4276,38403,79
4280,62455,36
4281,75137,45
4282,100036,46
4284,93194,45
4285,62083,75
4287,91239,34
4289,56324,54
4290,66827,52
4292,57750,49
4294,63104,56
4330,54775,54
4342,74844,41
4344,71635,53
4345,77410,56
4346,66574,67
4347,68398,88
4348,78929,39
4349,59500,40
4350,84904,37
4351,92031,49
4352,74395,48
4353,73875,43
4354,89095,38
4355,86504,47
4357,65854,51
4358,96309,45
4360,75481,39
4363,63178,40
4364,86470,49
4401,66932,55
4406,53438,46
4410,82955,41
4411,76667,42
4412,66613,67
4413,55000,52
4414,69500,51
4415,50714,88
4416,64587,52
4417,46094,47
4418,60500,38
4419,82188,30
4421,113750,52
4422,75250,44
4424,48778,38
4426,63491,51
4427,64229,40
4428,72857,47
4429,97244,47
4430,42011,65
4434,72379,33
4435,84408,35
4438,80000,35
4441,64789,47
4442,73750,62
4443,53990,45
4444,106554,43
4448,54750,54
4449,67692,39
4450,79792,34
4451,31957,52
4453,59250,39
4455,49886,47
4456,86071,31
4457,56645,45
4459,48750,51
4460,49583,52
4461,85111,39
4462,51527,64
4463,58810,48
4464,56017,49
4468,56358,59
4471,47500,39
4472,69022,49
4473,61528,49
4474,94556,37
4475,55417,60
4476,63194,47
4478,53229,51
4479,50313,50
4481,74545,35
4485,61875,43
4487,48000,41
4488,76023,33
4490,45893,53
4492,63438,44
4493,61563,41
4495,36333,73
4496,98333,49
4497,48958,49
4530,79649,82
4535,93125,48
4537,76667,46
4538,56500,69
4539,96111,44
4543,59423,45
4544,59375,55
4547,75625,53
4548,84250,46
4551,100000,45
4553,89868,42
4554,85288,61
4555,100417,47
4556,108750,45
4558,91477,79
4562,107833,42
4563,83500,36
4564,132604,88
4568,54478,48
4571,58830,49
4572,69107,47
4573,86250,56
4574,59861,39
4575,116250,81
4576,89375,72
4578,81063,43
4579,102175,44
4605,77377,42
4606,50524,49
4607,60152,38
4609,77180,41
4611,64063,52
4612,89839,37
4614,80377,34
4616,68750,46
4617,52078,50
4619,64096,57
4622,43854,46
4623,50163,45
4624,61691,42
4625,38500,88
4626,72946,59
4627,61703,53
4628,52159,43
4630,57857,47
4631,45573,85
4634,67589,42
4635,42250,56
4640,71699,40
4642,71563,34
4643,64861,43
4645,49500,73
4646,88750,54
4648,63750,45
4649,67500,49
4650,110063,31
4652,52083,61
4653,90250,40
4654,48838,51
4655,60000,54
4657,49191,48
4658,60536,52
4660,78646,49
4662,108214,88
4664,59643,45
4666,60761,54
4667,74712,35
4668,48720,49
4669,66071,38
4671,68333,48
4673,53750,88
4674,76667,50
4675,250001,51
4676,73333,41
4677,83438,45
4679,59205,44
4680,76466,47
4681,60223,55
4684,74508,39
4685,86250,50
4686,52353,35
4691,55164,45
4693,86250,53
4694,65417,51
4730,61980,60
4732,49479,52
4733,59050,34
4734,79219,55
4735,64750,53
4736,54368,63
4739,59028,51
4740,53309,51
4742,70852,55
4743,56422,47
4745,55461,50
4746,35417,64
4747,56795,57
4750,48750,66
4756,56136,60
4757,84042,47
4758,65156,59
4760,51875,49
4761,53810,44
4762,58333,55
4763,46378,53
4765,50286,52
4766,62500,50
4768,60000,47
4769,55768,55
4772,75417,54
4773,68571,47
4774,32250,52
4776,47115,51
4777,53472,53
4779,74438,53
4780,62727,38
4781,49583,46
4783,75625,65
4785,41528,65
4786,55326,58
4787,53542,44
4841,56533,78
4843,82344,56
4847,86766,35
4848,88438,52
4849,80377,41
4851,65417,44
4853,87500,88
4854,87325,56
4855,250001,88
4856,86979,48
4858,87059,45
4859,75341,37
4860,86833,52
4861,56435,75
4862,73536,44
4863,72963,60
4864,74616,45
4901,57403,60
4910,62361,40
4911,62697,44
4912,51250,41
4915,66362,52
4917,88338,41
4920,39860,45
4921,63646,37
4922,59261,43
4923,63194,43
4924,57781,35
4925,73235,53
4927,71458,49
4928,56547,41
4929,51111,45
4930,54137,50
4932,75952,34
4936,47404,49
4937,63933,51
4938,55704,51
4939,51094,38
4941,65662,42
4942,53636,50
4943,46141,42
4945,52045,51
4947,70104,42
4949,71146,45
4950,61747,62
4951,81300,34
4952,67763,36
4953,60365,50
4955,63889,49
4956,61806,39
4957,65931,41
4958,55089,51
4961,53750,52
4963,77708,43
4965,60543,32
4966,47969,49
4967,57381,56
4969,61964,39
4970,60882,42
4971,65600,40
4973,87000,38
4974,64303,51
4976,53534,52
4978,107917,43
4979,69205,48
4981,77560,36
4982,30469,47
4983,53894,48
4984,56087,60
4985,66827,53
4986,71833,42
4987,44583,35
4988,62929,43
4989,72300,38
5001,78092,47
5032,86688,54
5033,105250,49
5034,47273,50
5035,70670,50
5036,109612,52
5037,109091,46
5038,62000,56
5039,73611,44
5040,95481,64
5041,85479,67
5042,96250,68
5043,72434,38
5045,79203,50
5046,84375,45
5048,99583,57
5050,107880,88
5051,65966,51
5052,52321,68
5053,99722,59
5055,142684,44
5056,74896,45
5058,76758,61
5060,77317,55
5061,75761,41
5062,79152,52
5065,86042,44
5067,121607,50
5068,80911,64
5069,66442,46
5070,125938,45
5071,115921,88
5072,113438,52
5075,101776,46
5076,103250,53
5077,92656,48
5079,72022,42
5081,55804,56
5083,57917,43
5084,115521,42
5086,71000,45
5088,71848,42
5089,55633,72
5091,112396,65
5101,70299,88
5142,83833,54
5143,70610,52
5146,77500,50
5148,105795,46
5149,64191,44
5150,68108,34
5151,96836,49
5152,129500,46
5153,87292,59
5155,64630,39
5156,66679,67
5158,71875,56
5161,120000,57
5201,59798,63
5250,96250,58
5251,151163,55
5252,58750,67
5253,92159,51
5254,122868,43
5255,91058,46
5257,94375,50
5260,83083,55
5261,62917,58
5262,71417,50
5301,65910,62
5340,96083,44
5341,54511,48
5342,64018,53
5343,84375,50
5345,67472,53
5346,79118,50
5350,55313,53
5352,88542,48
5353,94917,43
5354,85682,47
5355,64044,49
5356,51222,41
5359,80417,46
5360,79659,42
5361,75714,48
5363,68843,51
5401,65657,84
